,title,company,category,location,created,salary_min,salary_max,contract_type,fixed_contract,limited_contract,contract_undefined
21,IT Projektleitung (m/w/d),ENERTRAG SE,IT-Stellen,"Berlin, Deutschland",2025-03-22 00:43:44+00:00,0,0,0,0.0,0.0,1.0
22,Frontend Developer - AI Marketing - Hamburg,Noir,IT-Stellen,"Billwerder, Hamburg",2025-03-17 14:48:42+00:00,75000,95000,permanent,1.0,0.0,0.0
23,C# IT-Entwickler (m/w/d) gesucht,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Junkersdorf, Köln",2025-02-13 19:08:30+00:00,0,0,permanent,1.0,0.0,0.0
24,Java-Software-Architekt (m/w/d),RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Mitte, Berlin",2025-03-12 19:23:31+00:00,0,0,permanent,1.0,0.0,0.0
25,IT-Network Security Engineer (m/w/d),Peak One GmbH,IT-Stellen,"Nürnberg, Bayern",2025-03-18 14:41:50+00:00,75000,90000,permanent,1.0,0.0,0.0
26,Junior Developer (m/w/d) JAVA,Bela,IT-Stellen,"Schreventeich, Kiel",2024-01-29 18:01:31+00:00,0,0,0,0.0,0.0,1.0
27,SAP IS-U Berater - 100 % Remote - Start ASAP,RED Global,IT-Stellen,Deutschland,2025-02-27 14:22:46+00:00,0,0,contract,0.0,1.0,0.0
28,Process and Operations Specialist (m|w|d) Factoring in Mainz,Coface Finanz GmbH,IT-Stellen,"Mainz, Rheinland-Pfalz",2025-03-06 18:19:06+00:00,0,0,0,0.0,0.0,1.0
29,IT Service & Operation Administrator on-site (m/w/d),Computer Futures,IT-Stellen,"Freiburg im Breisgau, Baden-Württemberg",2025-03-12 14:34:22+00:00,60000,60000,permanent,1.0,0.0,0.0
30,Information Security Officer (w/m/d) - FFM,Peak One GmbH,IT-Stellen,"Hausen, Frankfurt am Main",2025-03-18 14:41:48+00:00,75000,95000,permanent,1.0,0.0,0.0
31,SAP BPC - Flexible Working Hours (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Altstadt-Lehel, München",2024-10-16 01:25:08+00:00,60000,120000,permanent,1.0,0.0,0.0
32,Senior Consultant - OT Security (m/w/d),Alter Solutions,IT-Stellen,"Düsseldorf, Nordrhein-Westfalen",2025-03-20 06:39:21+00:00,0,0,0,0.0,0.0,1.0
33,SYSTEM- UND REQUIREMENTINGENIEUR (M/W/D),iks Engineering GmbH,IT-Stellen,"Bahrenfeld, Hamburg",2024-12-18 08:08:02+00:00,0,0,contract,0.0,1.0,0.0
34,Java oder C# Software-Entwickler (m/w/d) für Remscheid,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Süd, Remscheid",2025-03-18 19:36:53+00:00,0,0,permanent,1.0,0.0,0.0
35,SAP Ariba (Senior) Consultant Unrivalled Progression Opportunities (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Bahnhofsviertel, Frankfurt am Main",2024-12-20 01:49:55+00:00,60000,120000,permanent,1.0,0.0,0.0
36,Pre-Sales Consultant,Avolution,IT-Stellen,"München, München (Kreis)",2025-02-18 15:08:31+00:00,0,0,0,0.0,0.0,1.0
37,Workday Consultant - Flexible Working Hours (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Mitte, Dortmund",2024-07-17 22:42:08+00:00,60000,120000,permanent,1.0,0.0,0.0
38,Java-Softwareentwickler (w/d/m) Vollzeitstelle,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Neuhausen-Nymphenburg, München",2025-03-13 19:25:01+00:00,0,0,permanent,1.0,0.0,0.0
39,Ausbildungsintegriertes Duales Studium Wirtschaftsinformatik (B.Sc.) (w/m/d),Deutsche Glasfaser,IT-Stellen,"Saarlouis, Saarlouis (Kreis)",2025-03-12 00:25:12+00:00,0,0,0,0.0,0.0,1.0
40,Big Data Engineer - Family Friendly Environment (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Bahnhofsviertel, Frankfurt am Main",2024-07-17 22:42:08+00:00,60000,120000,permanent,1.0,0.0,0.0
41,Cloud Platform Architect (Azure) (m/f/d) - REF78448I,Continental,IT-Stellen,"Hannover, Region Hannover (Kreis)",2025-03-14 00:28:46+00:00,0,0,0,0.0,0.0,1.0
42,Softwareentwickler (m/w/d) ab sofort,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Sonnenhof, Ludwigsburg (Kreis)",2025-02-11 01:25:42+00:00,0,0,permanent,1.0,0.0,0.0
43,SAP Solution Manager (Senior) Consultant - Family Friendly Environment (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Altendorf, Essen",2024-12-23 19:56:02+00:00,45000,110000,permanent,1.0,0.0,0.0
44,IT Security Specialist (m/w/d),berg-it projektdienstleistungen GmbH,IT-Stellen,"Erlangen, Bayern",2025-03-22 05:06:54+00:00,0,0,0,0.0,0.0,1.0
45,ISB (w/M/d),Peak One GmbH,IT-Stellen,"Hainholz, Hannover",2025-03-17 14:48:49+00:00,75000,105000,permanent,1.0,0.0,0.0
46,.NET Software Engineer - Online Film Rental Company - Munich,Noir,IT-Stellen,"München, München (Kreis)",2025-03-17 14:48:41+00:00,85000,110000,permanent,1.0,0.0,0.0
47,SAP C/4HANA / SAP CX Junior Consultant Unrivalled Benefits Package (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Innenstadt, Mannheim",2024-12-23 19:56:01+00:00,45000,60000,permanent,1.0,0.0,0.0
48,SAP MM (Lead) Consultant No Travel (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Malstatt, Saarbrücken",2024-12-26 18:01:20+00:00,70000,130000,permanent,1.0,0.0,0.0
49,Informationssicherheitsbeauftragter (w/m/d),Peak One GmbH,IT-Stellen,"Münster, Nordrhein-Westfalen",2025-03-18 14:41:47+00:00,70000,100000,permanent,1.0,0.0,0.0
50,Cloud Consultant - Unrivalled Benefits Package (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Friedrichstadt, Düsseldorf",2024-07-17 22:42:07+00:00,120000,600000,permanent,1.0,0.0,0.0
51,Junior PHP Entwickler (m/w/d) Banking 55.000€,Computer Futures,IT-Stellen,"Hausen, Frankfurt am Main",2025-03-20 14:41:53+00:00,45000,55000,permanent,1.0,0.0,0.0
52,IT-Systemadministrator (m/w/d),Peak One GmbH,IT-Stellen,"Bayreuth (Kreis), Bayern",2025-03-12 14:34:05+00:00,60000,80000,permanent,1.0,0.0,0.0
53,Java-Programmierer (m/w/d) in Vollzeit,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Altstadt-Lehel, München",2025-02-28 19:15:32+00:00,0,0,permanent,1.0,0.0,0.0
54,"Director, Data Science, AdTech Statistical analysis",Delivery Hero,IT-Stellen,"Berlin, Deutschland",2025-02-26 18:00:51+00:00,0,0,0,0.0,0.0,1.0
55,Rohrleitungsbauer | Ausbildung (m/w/d),POHL-Gruppe,IT-Stellen,"Hamburg, Deutschland",2025-03-03 12:31:14+00:00,0,0,0,0.0,0.0,1.0
56,"Senior Java Engineer, Autohero (f/m/x)",AUTO1 Group,IT-Stellen,"Berlin, Deutschland",2025-03-19 06:41:27+00:00,0,0,0,0.0,0.0,1.0
57,Java Software-Entwickler (m/w/d) gesucht,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Nied, Frankfurt am Main",2025-03-04 19:17:51+00:00,0,0,permanent,1.0,0.0,0.0
58,SAP S/4HANA Project Manager - No Travel (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Mitte, Dortmund",2024-07-22 22:40:47+00:00,0,0,permanent,1.0,0.0,0.0
59,Java-Software-Entwickler (m/w/d) für Vaihingen an der Enz,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Vaihingen an der Enz, Ludwigsburg (Kreis)",2025-02-21 19:19:45+00:00,0,0,permanent,1.0,0.0,0.0
60,SAP SAP SEM-BCS / Group Reporting (Lead) Consultant - Remote / Low Travel (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Altendorf, Essen",2024-07-22 22:40:47+00:00,0,0,permanent,1.0,0.0,0.0
61,SAP S/4HANA Project Manager - No Travel (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Altstadt, Bremen",2024-07-22 22:40:47+00:00,0,0,permanent,1.0,0.0,0.0
62,TwinCAT Automation Engineer -3 Monate () - Remote- Start:ASAP,RED Global,IT-Stellen,"Bayern, Deutschland",2025-02-25 14:22:06+00:00,0,0,contract,0.0,1.0,0.0
63,SAP SD Consultant (m/w/d) - Optimieren Sie Vertriebslösungen,Peak One GmbH,IT-Stellen,"Altstadt-Nord, Köln",2025-03-04 14:24:57+00:00,70000,95000,permanent,1.0,0.0,0.0
64,SAP BASIS Consultant No Travel (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Mitte, Stuttgart",2024-12-20 14:14:45+00:00,60000,110000,permanent,1.0,0.0,0.0
65,SAP FICO - SAP ABAP Inhouse Developer (m/w/d) - 80% Remote,Cavendish Professionals,IT-Stellen,Deutschland,2025-03-07 14:31:31+00:00,0,0,permanent,1.0,0.0,0.0
66,SAP SAP SEM-BCS / Group Reporting (Lead) Consultant - Remote / Low Travel (All Genders),The Recruitment 2.0 Group,IT-Stellen,Deutschland,2025-03-04 21:57:06+00:00,0,0,permanent,1.0,0.0,0.0
67,Support Engineer (Windows/Devices),RED Global,IT-Stellen,"Braunschweig, Niedersachsen",2025-03-18 14:41:59+00:00,0,0,contract,0.0,1.0,0.0
68,C++ Entwickler (m/w/d) - Schwerpunkt MFC,Peak One GmbH,IT-Stellen,"Ettlingen, Karlsruhe (Kreis)",2025-03-14 14:56:19+00:00,78000,90000,permanent,1.0,0.0,0.0
69,Senior Backend Developer - Java (m/w/d),GEOMAGIC GmbH,IT-Stellen,"Leipzig, Leipzig (Kreis)",2025-03-22 05:06:52+00:00,0,0,0,0.0,0.0,1.0
70,C++/C#-Softwareentwickler (m/w/d) in Siegen,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Birlenbach, Siegen",2025-02-05 01:29:32+00:00,0,0,permanent,1.0,0.0,0.0
71,IT-Entwickler Java (m/w/d) für Hamburg,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Barmbek-Süd, Hamburg",2025-03-18 19:36:53+00:00,0,0,permanent,1.0,0.0,0.0
72,Big Data Engineer - Family Friendly Environment (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Mitte, Dortmund",2024-10-16 01:25:08+00:00,60000,120000,permanent,1.0,0.0,0.0
73,Software Demo Engineer (f/m/d),Jobs for Humanity,IT-Stellen,"Berlin, Deutschland",2025-02-26 18:00:51+00:00,0,0,0,0.0,0.0,1.0
74,SAP ePPM - 3 Monate - remote,RED Global,IT-Stellen,Deutschland,2025-03-13 14:49:03+00:00,0,0,contract,0.0,1.0,0.0
75,"Werkpolier für Straßen-, Tief- und Kanalbau (m/w/d)",POHL-Gruppe,IT-Stellen,"Flensburg, Schleswig-Holstein",2024-01-31 17:43:18+00:00,0,0,0,0.0,0.0,1.0
76,Java-Softwareentwickler (m/w/d) ab sofort,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Oberhausen, Augsburg",2025-03-12 19:23:32+00:00,0,0,permanent,1.0,0.0,0.0
77,IT-Systemadministrator (m/w/d),Peak One GmbH,IT-Stellen,"Montabaur, Westerwaldkreis",2025-03-06 14:29:32+00:00,60000,85000,permanent,1.0,0.0,0.0
78,SAP HCM or SuccessFactors Developer (ABAP or Fiori) Fully Remote (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Altstadt-Nord, Köln",2024-12-26 18:01:23+00:00,60000,120000,permanent,1.0,0.0,0.0
79,Scala Software Engineer (m/w/d),Progressive Recruitment,IT-Stellen,"München, München (Kreis)",2025-03-08 14:28:16+00:00,0,0,contract,0.0,1.0,0.0
80,.NET Softwareentwickler (m/w/d),RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Langel, Köln",2025-03-14 19:29:16+00:00,0,0,permanent,1.0,0.0,0.0
81,SAP Fiori (HCM/SuccessFactors) Developer - Fully Remote (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Altstadt-Lehel, München",2024-12-23 19:56:01+00:00,60000,120000,permanent,1.0,0.0,0.0
82,Gas- und Wassermonteur für Hausanschlussarbeiten (m/w/d) in Schleswig,POHL-Gruppe,IT-Stellen,"Kiel, Schleswig-Holstein",2025-03-02 00:12:28+00:00,0,0,0,0.0,0.0,1.0
83,IT-Systemadministrator (m/w/d),Hays AG,IT-Stellen,"Berlin, Deutschland",2025-02-26 14:24:42+00:00,0,0,permanent,1.0,0.0,0.0
84,SAP Fiori (HCM/SuccessFactors) Developer - Fully Remote (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Friedrichstadt, Düsseldorf",2024-07-20 00:59:53+00:00,60000,120000,permanent,1.0,0.0,0.0
85,Hardwareentwickler (m/w/d) für Berlin,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Mitte, Berlin",2025-03-10 19:20:33+00:00,0,0,permanent,1.0,0.0,0.0
86,"Tiefbauer, Gartenlandschaftsbauer, Tiefbauhelfer (m/w/d)",POHL-Gruppe,IT-Stellen,"Kappeln, Schleswig-Flensburg (Kreis)",2024-02-22 19:28:07+00:00,0,0,0,0.0,0.0,1.0
