title,company,category,location,created,salary_min,salary_max,contract_type
Senior IT-Servicetechniker (m/w/d),BWI GmbH,IT-Stellen,"Wunstorf, Region Hannover (Kreis)",2025-05-18T19:35:32Z,N/A,N/A,N/A
Salesforce Entwickler (m/w/d),pflege.de I web care LBJ GmbH,IT-Stellen,"Hamburg, Deutschland",2025-05-18T19:43:36Z,N/A,N/A,N/A
IT-Servicedesk-Mitarbeiter (m/w/d),NVL B.V. & Co. KG,IT-Stellen,"Hamburg, Deutschland",2025-05-18T19:41:44Z,N/A,N/A,N/A
(Senior) Softwareentwickler JAVA (w/m/d),PRODATO Integration Technology GmbH,IT-Stellen,"Nürnberg, Bayern",2025-05-18T19:34:44Z,N/A,N/A,N/A
SAP Inhouse Consultant – SD/LE-WM (m/w/d),Vitrulan Textile Glass GmbH,IT-Stellen,"Marktschorgast, Kulmbach (Kreis)",2025-05-18T19:35:28Z,N/A,N/A,N/A
Projektleiter (w/m/d) Infrastruktur und Straße,Drees & Sommer SE,IT-Stellen,"Hamburg, Deutschland",2025-05-18T07:33:25Z,N/A,N/A,N/A
Teamleitung (m/w/d/u) IT,Handwerkskammer Hannover,IT-Stellen,"Garbsen, Region Hannover (Kreis)",2025-05-18T19:45:01Z,N/A,N/A,N/A
Mitarbeiter IT-Service-Desk (m/w/d),DENIOS SE,IT-Stellen,"Bad Oeynhausen, Minden-Lübbecke (Kreis)",2025-05-18T19:41:45Z,N/A,N/A,N/A
Java und/oder C++ Entwickler (m/w/d) für ÖPNV Software,IVU Traffic Technologies AG,IT-Stellen,"Aachen, Aachen (Kreis)",2025-05-18T19:41:48Z,N/A,N/A,N/A
IT-Administrator in mit Schwerpunkt Netzwerktechnik,Pfennigparade SIGMETA GmbH,IT-Stellen,"Milbertshofen-Am Hart, München",2025-05-18T13:08:33Z,N/A,N/A,N/A
Gruppenleitung (m/w/d) Softwareentwicklung Industrial Engineering,Endress+Hauser Conducta GmbH+Co. KG,IT-Stellen,"Waldheim, Offenbach am Main",2025-05-18T07:32:44Z,N/A,N/A,N/A
Senior Software Engineer UI/UX (d/w/m),Leica Microsystems,IT-Stellen,"Heuchelheim, Gießen (Kreis)",2025-05-18T11:53:58Z,N/A,N/A,N/A
Key User ERP für Microsoft Dynamics NAV (m/w/d),Shofu Dental GmbH,IT-Stellen,"Hubbelrath, Düsseldorf",2025-05-18T14:10:51Z,N/A,N/A,N/A
Senior Product Owner / Technical Service Owner (w/m/d),HUK-COBURG Versicherungsgruppe,IT-Stellen,"Coburg, Coburg (Kreis)",2025-05-18T07:10:24Z,N/A,N/A,N/A
Manager IMS (m/w/d) Integriertes Managementsystem mit Schwerpunkt Nachhaltigkeit,BLG Logistics Group AG & Co. KG,IT-Stellen,"Bremerhaven, Bremen",2025-05-18T07:38:54Z,N/A,N/A,N/A
Informatikerin / Informatiker (w/m/d) Schwerpunkt Netzwerktechnik,Polizeipräsidium Frankfurt am Main,IT-Stellen,"Frankfurt am Main, Hessen",2025-05-18T19:41:46Z,N/A,N/A,N/A
Data Governance Manager (w/m/d) (Digitization System Operation),50Hertz Transmission GmbH,IT-Stellen,"Mitte, Berlin",2025-05-18T19:45:17Z,N/A,N/A,N/A
Dualer Student (m/w/d) Wirtschaftsinformatik – ab September 2025,Diehl Defence GmbH & Co. KG,IT-Stellen,Deutschland,2025-05-18T19:39:45Z,N/A,N/A,N/A
Werkstudent (w/m/d) Softwareentwicklung mit Java-Kenntnissen,Süddeutsche Krankenversicherung a.G.,IT-Stellen,"Fellbach, Rems-Murr-Kreis",2025-05-18T19:41:47Z,N/A,N/A,N/A
(Senior) Microsoft 365 Power Platform Developer (w/m/d),FIEGE Logistik Stiftung & Co. KG,IT-Stellen,Deutschland,2025-05-18T19:45:05Z,N/A,N/A,N/A
Senior C# Entwickler/in (m/w/d) – WinForms & SQL Datenbanken,comLogis computed Logistics GmbH,IT-Stellen,"Brake, Bielefeld",2025-05-18T19:41:24Z,N/A,N/A,N/A
IT-Systemadministrator Linux / Microsoft (m/w/d),MDCC Magdeburg-City-Com GmbH,IT-Stellen,"Magdeburg, Sachsen-Anhalt",2025-05-18T19:35:03Z,N/A,N/A,N/A
IT-Mitarbeiter (w/m/d) für das Fachressort Zentrale Infrastruktur (Fachinformatiker (w/m/d)),Gesundheitsholding Lüneburg GmbH,IT-Stellen,"Lüneburg, Lüneburg (Kreis)",2025-05-18T07:10:21Z,N/A,N/A,N/A
Security Support / Werkschutzfachkraft (m/w/d),Lufthansa Group Security Operations,IT-Stellen,"Freising, Freising (Kreis)",2025-05-18T18:04:29Z,N/A,N/A,N/A
Applikationsspezialist:in / Consultant (m/w/d) klinische Arbeitsplatzsysteme – Patientendatenadministration (ambulant und stationär),Dedalus HealthCare GmbH,IT-Stellen,Deutschland,2025-05-18T19:35:14Z,N/A,N/A,N/A
Senior Project Manager / Senior Scrum Master (M/W/D),VMRay GmbH,IT-Stellen,"Bochum, Nordrhein-Westfalen",2025-05-18T19:42:35Z,N/A,N/A,N/A
Elektroniker / Elektrotechnikermeister (m/w/d),Snackmaster Produktion GmbH & Co. KG,IT-Stellen,Deutschland,2025-05-18T06:04:54Z,N/A,N/A,N/A
Kotlin Software-Entwickler (m/w/d),Sonic Healthcare Germany GmbH & Co. KG,IT-Stellen,"Hamburg, Deutschland",2025-05-18T19:45:08Z,N/A,N/A,N/A
HR-Administrator / HR-Sachbearbeitung (m/w/d),Lagardère Travel Retail Deutschland GmbH,IT-Stellen,"Wiesbaden, Wiesbaden (Kreis)",2025-05-18T14:05:11Z,N/A,N/A,N/A
IT-Mitarbeiter im 1st Level Support / Ticketdispatcher (m/w/d),Evangelische Dienste Duisburg gGmbH,IT-Stellen,"Altstadt, Duisburg",2025-05-18T14:10:51Z,N/A,N/A,N/A
Informatiker / IT-Fachkraft (w/m/d),IHK - Niederrheinische IHK Duisburg-Wesel-Kleve zu Duisburg,IT-Stellen,"Eschborn, Main-Taunus-Kreis",2025-05-18T19:35:16Z,N/A,N/A,N/A
Tech & Security Consultant DMS-Plattform (w/m/d),E.ON Digital Technology GmbH,IT-Stellen,"Essen, Nordrhein-Westfalen",2025-05-18T19:34:42Z,N/A,N/A,N/A
Senior Software Engineer (m/w/d) Interfaces,BIOTRONIK SE & Co. KG,IT-Stellen,"Berlin, Deutschland",2025-05-18T19:34:58Z,N/A,N/A,N/A
Pflichtpraktikum | Lean Management & Technisches Projektmanagement Wintersemester 2025/26 | ab September 2025,Hansgrohe SE,IT-Stellen,"Schiltach, Rottweil (Kreis)",2025-05-18T01:48:42Z,N/A,N/A,N/A
(Senior) Software Consultant (m/w/d),HPM Service und Verwaltung,IT-Stellen,Deutschland,2025-05-18T21:33:15Z,N/A,N/A,N/A
Technische Mitarbeiter (m/w/d) (Informatiker / Ingenieure [m/w/d] – Bachelor [FH] oder Fachinformatiker / IT-Systemelektroniker [m/w/d]),Bayerisches Landeskriminalamt,IT-Stellen,"Königsbrunn, Augsburg (Kreis)",2025-05-18T19:34:46Z,N/A,N/A,N/A
Werkstudent Lizenz- und Vertragsmanagement (m/w/d),netgo group,IT-Stellen,Deutschland,2025-05-18T22:04:21Z,N/A,N/A,N/A
ERP Projektmanager (m/w/d),SARIA International GmbH,IT-Stellen,"Selm, Unna (Kreis)",2025-05-18T19:43:30Z,N/A,N/A,N/A
Backend Developer (m/w/d),Elmer Dienstleistungs & Co. KG,IT-Stellen,"Beltinghoven, Mönchengladbach",2025-05-18T22:05:10Z,N/A,N/A,N/A
IT Architekt (W/M/D) Active Directory,HZD Hessische Zentrale für Datenverarbeitung,IT-Stellen,"Wiesbaden, Wiesbaden (Kreis)",2025-05-18T19:35:25Z,N/A,N/A,N/A
Abschlussarbeit - Effiziente Speicherung und Indexierung von JSON-Daten (Data Science),wenglor sensoric gmbH,IT-Stellen,"Tettnang, Bodenseekreis",2025-05-18T06:05:37Z,N/A,N/A,N/A
Informationssicherheits-Manager (w/m/div.),Bosch Gruppe,IT-Stellen,"München, München (Kreis)",2025-05-18T07:43:31Z,N/A,N/A,N/A
